# kind	source	symbol	disposition	rationale
builder	crates/gvm-gmp/src/commands/agent_groups.rs	clone_agent_group	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agent_groups.rs	create_agent_group	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agent_groups.rs	delete_agent_group	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agent_groups.rs	get_agent_group	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agent_groups.rs	get_agent_groups	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agent_groups.rs	modify_agent_group	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agents.rs	delete_agent	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agents.rs	get_agent	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agents.rs	get_agent_installer_instruction	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agents.rs	get_agent_support_bundle	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agents.rs	get_agents	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agents.rs	modify_agent	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agents.rs	modify_agent_control_scan_config	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/agents.rs	sync_agents	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/aggregates.rs	get_aggregates	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/aggregates.rs	get_aggregates_request	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/alerts.rs	clone_alert	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/alerts.rs	create_alert	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/alerts.rs	delete_alert	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/alerts.rs	get_alert	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/alerts.rs	get_alerts	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/alerts.rs	modify_alert	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/alerts.rs	test_alert	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/alerts.rs	trigger_alert	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/assets.rs	create_asset	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/assets.rs	delete_asset	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/assets.rs	get_assets	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/assets.rs	modify_asset	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/authentication.rs	authenticate	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/configs.rs	clone_config	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/configs.rs	create_config	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/configs.rs	delete_config	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/configs.rs	get_config	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/configs.rs	get_configs	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/configs.rs	modify_config	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	clone_credential	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	create_credential	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	create_credential_store_credential	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	delete_credential	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	get_credential	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	get_credential_store	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	get_credential_stores	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	get_credential_stores_with_opts	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	get_credentials	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	modify_credential	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	modify_credential_store	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	modify_credential_store_credential	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/credentials.rs	verify_credential_store	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/features.rs	get_features	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/feed.rs	get_feed	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/feed.rs	get_feeds	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/filters.rs	clone_filter	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/filters.rs	create_filter	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/filters.rs	delete_filter	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/filters.rs	get_filter	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/filters.rs	get_filters	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/filters.rs	modify_filter	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/groups.rs	clone_group	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/groups.rs	create_group	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/groups.rs	delete_group	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/groups.rs	get_group	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/groups.rs	get_groups	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/groups.rs	modify_group	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/help.rs	help	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/help.rs	help_with_mode	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/hosts.rs	create_host	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/hosts.rs	delete_host	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/hosts.rs	get_host	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/hosts.rs	get_hosts	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/hosts.rs	modify_host	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/integration_configs.rs	get_integration_config	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/integration_configs.rs	get_integration_configs	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/integration_configs.rs	modify_integration_config	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/notes.rs	clone_note	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/notes.rs	create_note	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/notes.rs	delete_note	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/notes.rs	get_note	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/notes.rs	get_notes	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/notes.rs	modify_note	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/nvts.rs	get_nvt	transitional	Pending bounded family migration under #602.
builder	crates/gvm-gmp/src/commands/nvts.rs	get_nvt_families	transitional	Pending bounded family migration under #602.
